"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","Name","minute"
"630","Golden State Warriors","3/16/17",2016,2,6,19,"shot_yes","Jump Shot","2PT Field Goal",12,"Orlando Magic",-7,121,"Klay Thompson",30
"631","Golden State Warriors","3/16/17",2016,2,2,16,"shot_no","Jump Shot","2PT Field Goal",5,"Orlando Magic",22,51,"Klay Thompson",34
"632","Golden State Warriors","2/28/17",2016,4,7,39,"shot_no","Jump Shot","2PT Field Goal",14,"Washington Wizards",-32,144,"Klay Thompson",53
"633","Golden State Warriors","11/4/16",2016,4,9,24,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-176,183,"Klay Thompson",51
"634","Golden State Warriors","2/10/17",2016,3,5,46,"shot_yes","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",220,129,"Klay Thompson",43
"635","Golden State Warriors","2/10/17",2016,4,11,43,"shot_yes","Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",-2,203,"Klay Thompson",49
"636","Golden State Warriors","2/28/17",2016,1,7,9,"shot_yes","Jump Shot","3PT Field Goal",25,"Washington Wizards",-104,237,"Klay Thompson",17
"637","Golden State Warriors","2/28/17",2016,3,11,22,"shot_no","Jump Shot","3PT Field Goal",23,"Washington Wizards",233,46,"Klay Thompson",37
"638","Golden State Warriors","2/28/17",2016,2,0,37,"shot_yes","Jump Shot","3PT Field Goal",26,"Washington Wizards",222,149,"Klay Thompson",36
"639","Golden State Warriors","2/28/17",2016,2,11,45,"shot_no","Jump Shot","3PT Field Goal",25,"Washington Wizards",222,126,"Klay Thompson",25
"640","Golden State Warriors","2/28/17",2016,1,2,36,"shot_no","Jump Shot","3PT Field Goal",31,"Washington Wizards",-66,311,"Klay Thompson",22
"641","Golden State Warriors","2/28/17",2016,4,9,15,"shot_no","Jump Shot","3PT Field Goal",25,"Washington Wizards",-68,247,"Klay Thompson",51
"642","Golden State Warriors","2/28/17",2016,4,9,48,"shot_no","Jump Shot","2PT Field Goal",17,"Washington Wizards",99,149,"Klay Thompson",51
